biotin    	  0.0	   0.5	infant   	female	AI 	    5.000	ug	/day   
copper    	 14.0	  18.0	typical  	male  	RDA	  890.000	ug	/day   
copper    	 19.0	  30.0	lactating	female	EAR	 1000.000	ug	/day   
copper    	 19.0	  30.0	lactating	female	RDA	 1300.000	ug	/day   
copper    	 19.0	  30.0	pregnant 	female	EAR	  800.000	ug	/day   
copper    	 19.0	  30.0	pregnant 	female	RDA	 1000.000	ug	/day   
copper    	 19.0	  30.0	typical  	female	EAR	  700.000	ug	/day   
copper    	 19.0	  30.0	typical  	female	RDA	  900.000	ug	/day   
copper    	 19.0	  30.0	typical  	male  	EAR	  700.000	ug	/day   
copper    	 19.0	  30.0	typical  	male  	RDA	  900.000	ug	/day   
copper    	 31.0	  50.0	lactating	female	EAR	 1000.000	ug	/day   
copper    	 31.0	  50.0	lactating	female	RDA	 1300.000	ug	/day   
copper    	 31.0	  50.0	pregnant 	female	EAR	  800.000	ug	/day   
copper    	 31.0	  50.0	pregnant 	female	RDA	 1000.000	ug	/day   
copper    	 31.0	  50.0	typical  	female	EAR	  700.000	ug	/day   
copper    	 31.0	  50.0	typical  	female	RDA	  900.000	ug	/day   
copper    	 31.0	  50.0	typical  	male  	EAR	  700.000	ug	/day   
copper    	 31.0	  50.0	typical  	male  	RDA	  900.000	ug	/day   
copper    	 51.0	  70.0	typical  	female	EAR	  700.000	ug	/day   
copper    	 51.0	  70.0	typical  	female	RDA	  900.000	ug	/day   
copper    	 51.0	  70.0	typical  	male  	EAR	  700.000	ug	/day   
copper    	 51.0	  70.0	typical  	male  	RDA	  900.000	ug	/day   
copper    	 70.0	 120.0	typical  	female	EAR	  700.000	ug	/day   
copper    	 70.0	 120.0	typical  	female	RDA	  900.000	ug	/day   
copper    	 70.0	 120.0	typical  	male  	EAR	  700.000	ug	/day   
copper    	 70.0	 120.0	typical  	male  	RDA	  900.000	ug	/day   
fat       	  0.0	   0.5	infant   	female	AI 	   31.000	g 	/day   
fat       	  0.0	   0.5	infant   	male  	AI 	   31.000	g 	/day   
fat       	  0.5	   1.0	infant   	female	AI 	   30.000	g 	/day   
fat       	  0.5	   1.0	infant   	male  	AI 	   30.000	g 	/day   
fat       	  1.0	   3.0	child    	female	AI 	         	g 	/day   
fat       	  1.0	   3.0	child    	female	AMDR-hi	   40.000	pct	Energy 
fat       	  1.0	   3.0	child    	female	AMDR-lo	   30.000	pct	Energy 
fat       	  1.0	   3.0	child    	male  	AI 	         	g 	/day   
fat       	  1.0	   3.0	child    	male  	AMDR-hi	   40.000	pct	Energy 
fat       	  1.0	   3.0	child    	male  	AMDR-lo	   30.000	pct	Energy 
fat       	  4.0	   8.0	child    	female	AI 	         	g 	/day   
fat       	  4.0	   8.0	child    	female	AMDR-hi	   35.000	pct	Energy 
fat       	  4.0	   8.0	child    	female	AMDR-lo	   25.000	pct	Energy 
fat       	  4.0	   8.0	child    	male  	AI 	         	g 	/day   
fat       	  4.0	   8.0	child    	male  	AMDR-hi	   35.000	pct	Energy 
fat       	  4.0	   8.0	child    	male  	AMDR-lo	   25.000	pct	Energy 
fat       	  9.0	  13.0	typical  	female	AI 	         	g 	/day   
fat       	  9.0	  13.0	typical  	female	AMDR-hi	   35.000	pct	Energy 
fat       	  9.0	  13.0	typical  	female	AMDR-lo	   25.000	pct	Energy 
fat       	  9.0	  13.0	typical  	male  	AI 	         	g 	/day   
fat       	  9.0	  13.0	typical  	male  	AMDR-hi	   35.000	pct	Energy 
fat       	  9.0	  13.0	typical  	male  	AMDR-lo	   25.000	pct	Energy 
fat       	 14.0	  18.0	lactating	female	AI 	         	g 	/day   
fat       	 14.0	  18.0	lactating	female	AMDR-hi	   35.000	pct	Energy 
fat       	 14.0	  18.0	lactating	female	AMDR-lo	   25.000	pct	Energy 
fat       	 14.0	  18.0	pregnant 	female	AI 	         	g 	/day   
fat       	 14.0	  18.0	pregnant 	female	AMDR-hi	   35.000	pct	Energy 
fat       	 14.0	  18.0	pregnant 	female	AMDR-lo	   25.000	pct	Energy 
fat       	 14.0	  18.0	typical  	female	AI 	         	g 	/day   
fat       	 14.0	  18.0	typical  	female	AMDR-hi	   35.000	pct	Energy 
fat       	 14.0	  18.0	typical  	female	AMDR-lo	   25.000	pct	Energy 
fat       	 14.0	  18.0	typical  	male  	AI 	         	g 	/day   
fat       	 14.0	  18.0	typical  	male  	AMDR-hi	   35.000	pct	Energy 
fat       	 14.0	  18.0	typical  	male  	AMDR-lo	   25.000	pct	Energy 
fat       	 19.0	  30.0	lactating	female	AI 	         	g 	/day   
fat       	 19.0	  30.0	lactating	female	AMDR-hi	   35.000	pct	Energy 
fat       	 19.0	  30.0	lactating	female	AMDR-lo	   20.000	pct	Energy 
fat       	 19.0	  30.0	pregnant 	female	AI 	         	g 	/day   
